dof,k,ref_t,model_t,dt,ref_amp,model_amp,amp_ratio,abs_ratio
FD_SURGE,1,0.07999999999998408,0.09999999999999998,0.020000000000015894,-23.211405,-19.131999999999998,0.8242499753892536,0.8242499753892536
FD_SURGE,2,40.120000000000005,42.099999999999994,1.9799999999999898,11.211595,8.888,0.7927507192330796,0.7927507192330796
FD_SURGE,3,82.15999999999997,42.65,-39.50999999999997,-5.8461050000000006,8.908000000000001,-1.523749573433936,1.523749573433936
FD_SURGE,4,118.46999999999997,43.699999999999996,-74.76999999999998,4.5672950000000005,8.918000000000001,1.9525780576906024,1.9525780576906024
FD_SURGE,5,118.92999999999995,84.85,-34.079999999999956,4.583295000000001,-4.136,-0.9024075474085782,0.9024075474085782
FD_SURGE,6,122.27999999999997,123.95,1.6700000000000301,4.752095,3.5400000000000005,0.7449346025279379,0.7449346025279379
FD_SWAY,1,0.07999999999998408,0.9000000000000001,0.820000000000016,-15.1099,-15.059,0.9966313476594815,0.9966313476594815
FD_SWAY,2,38.53000000000003,2.55,-35.98000000000003,8.949200000000001,-14.539,-1.624614490680731,1.624614490680731
FD_SWAY,3,38.64999999999998,3.0999999999999996,-35.549999999999976,8.945,-14.569,-1.6287311347121298,1.6287311347121298
FD_SWAY,4,39.410000000000025,40.15,0.7399999999999736,8.966000000000001,6.773,0.7554093241133168,0.7554093241133168
FD_SWAY,5,80.14999999999998,40.65,-39.49999999999998,-5.8012999999999995,6.7669999999999995,-1.166462689397204,1.166462689397204
FD_SWAY,6,80.39999999999998,42.15,-38.24999999999998,-5.800599999999999,6.843,-1.179705547701962,1.179705547701962
FD_HEAVE,1,0.08000000000004093,0.09999999999999998,0.01999999999995905,-8.2757,-8.98,1.0851045832980897,1.0851045832980897
FD_HEAVE,2,11.0,11.55,0.5500000000000007,5.0409999999999995,3.1190000000000007,0.6187264431660386,0.6187264431660386
FD_HEAVE,3,22.549999999999955,22.1,-0.4499999999999531,-2.9468000000000005,-1.9649999999999994,0.6668250305416041,0.6668250305416041
FD_HEAVE,4,33.299999999999955,32.65,-0.649999999999956,1.95898,1.4180000000000001,0.7238460831657292,0.7238460831657292
FD_HEAVE,5,43.799999999999955,43.199999999999996,-0.5999999999999588,-1.4906000000000001,-1.1309999999999998,0.7587548638132293,0.7587548638132293
FD_HEAVE,6,54.210000000000036,53.699999999999996,-0.5100000000000406,1.1454,0.9050000000000002,0.7901169896979223,0.7901169896979223
FD_ROLL,1,0.08000000000004093,0.09999999999999998,0.01999999999995905,11.955680000000001,14.185,1.18646534534213,1.18646534534213
FD_ROLL,2,14.810000000000002,1.6500000000000001,-13.160000000000002,-10.180819999999999,12.975,-1.2744552992784473,1.2744552992784473
FD_ROLL,3,30.54000000000002,16.0,-14.54000000000002,7.98988,-9.504,-1.189504723475196,1.189504723475196
FD_ROLL,4,46.25999999999999,32.05,-14.209999999999994,-6.49072,6.84,-1.053812211896369,1.053812211896369
FD_ROLL,5,61.74000000000001,47.849999999999994,-13.890000000000015,5.5065800000000005,-5.196,-0.9435983859310133,0.9435983859310133
FD_ROLL,6,77.30000000000001,63.349999999999994,-13.950000000000017,-4.56302,4.468,-0.9791760719874119,0.9791760719874119
FD_PITCH,1,0.09000000000003183,0.09999999999999998,0.009999999999968145,-9.025549999999999,-10.4357,1.1562397859410232,1.1562397859410232
FD_PITCH,2,14.850000000000023,14.15,-0.7000000000000224,7.09455,7.5523,1.0645213579437738,1.0645213579437738
FD_PITCH,3,15.480000000000018,14.55,-0.9300000000000175,7.06215,7.5423,1.0679892100847477,1.0679892100847477
FD_PITCH,4,15.730000000000018,15.75,0.01999999999998181,7.49915,7.7123,1.0284232212984137,1.0284232212984137
FD_PITCH,5,30.54000000000002,30.1,-0.44000000000001904,-6.2101500000000005,-5.8077,0.9351948020579212,0.9351948020579212
FD_PITCH,6,46.10000000000002,45.949999999999996,-0.150000000000027,5.066949999999999,4.8943,0.9659262475453677,0.9659262475453677
FD_YAW,1,0.09000000000003183,0.09999999999999998,0.009999999999968145,-18.0141,-14.4932,0.8045475488645006,0.8045475488645006
FD_YAW,2,24.390000000000043,25.25,0.8599999999999568,10.4544,8.3058,0.7944788797061524,0.7944788797061524
FD_YAW,3,50.200000000000045,51.0,0.7999999999999545,-6.548400000000001,-6.098199999999999,0.9312503817726465,0.9312503817726465
FD_YAW,4,75.72000000000003,76.55,0.8299999999999699,4.9191,4.0758,0.8285662011343539,0.8285662011343539
FD_YAW,5,101.28000000000003,102.64999999999999,1.369999999999962,-4.116899999999999,-3.6441999999999997,0.8851805970511794,0.8851805970511794
FD_YAW,6,126.75999999999999,128.05,1.2900000000000205,3.3952,2.6398,0.7775094250706881,0.7775094250706881
