dof,source,raw_start,first60_mean,first60_median,tail_mean,tail_median,tail_std,tail_min,tail_max
FD_SURGE,model,-16.25,2.2533508924103427,7.065,2.996606309708953,2.892,0.6388352522627533,1.891,4.255
FD_SURGE,reference,-23.35351,-0.6734375943962648,3.89369,-0.06256591186146208,-0.13664,0.4477999440844843,-0.7477,0.68654
FD_SWAY,model,-12.09,2.150328691409508,5.644,2.744328815818707,2.769,0.4049452903142021,1.943,3.402
FD_SWAY,reference,-15.02749,0.43676281333333283,3.01886,0.0996902619228626,0.08522000000000002,0.41518389013744816,-0.57187,0.78871
FD_HEAVE,model,-4.475,4.214489641367807,4.631,4.538978010994503,4.544,0.10804620550939949,4.372,4.706
FD_HEAVE,reference,-8.2962,-0.11503762741333351,0.09544999999999992,0.0032416464050016637,0.0047999999999999154,0.0861134357266153,-0.13870000000000005,0.1439999999999999
FD_ROLL,model,16.89,2.60307447206005,2.027,2.5716682045367167,2.565,0.3299618811419495,2.033,3.13
FD_ROLL,reference,11.97218,0.042105656666666845,0.04599500000000001,0.007695867790019452,0.008479999999999988,0.14796563439367683,-0.255033,0.26103
FD_PITCH,model,-9.679,0.891438128440367,1.114,0.8808634922337563,0.8587,0.49678447567447687,-0.03002,1.704
FD_PITCH,reference,-9.028615,-0.18386618559039392,-0.22806500000000002,0.0013503006450499946,0.008934999999999915,0.41863934430020405,-0.752695,0.6887849999999999
FD_YAW,model,-15.05,-1.9581578748957462,-3.068,-0.6023323611996573,-0.5468,0.5564534733833013,-1.538,0.2404
FD_YAW,reference,-17.8903,-1.3483236244162773,-2.3108999999999997,0.11455541655576262,0.13569999999999993,0.5540574398851749,-0.7650999999999999,0.9927000000000001
